country,province,country,designation,points,price,province,region_1,region_2,variety,winery,last_year_points
Italy,Southern Italy,Italy,,94.0,50.0,Southern Italy,Campania,,Sirica,Feudi di San Gregorio,90
Italy,Tuscany,Italy,Masseto,100.0,460.0,Tuscany,Toscana,,Merlot,Tenuta dell'Ornellaia,97
Italy,Veneto,Italy,Mazzano,96.0,175.0,Veneto,Amarone della Valpolicella Classico,,Corvina, Rondinella, Molinara
Japan,Kyoto,Japan,Nigori Yamanashi Limited Edition Unfiltered,85.0,24.0,Kyoto,,,Koshu,Croix Toriino,82
Lebanon,Bekaa Valley,Lebanon,Le Colombier,89.0,13.0,Bekaa Valley,,,Red Blend,Massaya,87
Lebanon,Lebanon,Lebanon,Altitudes,91.0,20.0,Lebanon,,,Red Blend,Ixsir,97
Lithuania,Lithuania,Lithuania,Exclusive Semi-Dry,85.0,10.0,Lithuania,,,Sparkling Blend,Alita,91
Luxembourg,Moselle Luxembourgeoise,Luxembourg,Domaine et Tradition Machtum Hohfels,88.0,50.0,Moselle Luxembourgeoise,,,Pinot Gris,Mme Aly Duhr et Fils,94
Macedonia,Tikves,Macedonia,Veritas,89.0,20.0,Tikves,,,Vranec,Stobi,95
Mexico,San Antonio de las Minas Valley,Mexico,Pedregal,91.0,45.0,San Antonio de las Minas Valley,,,Syrah-Mourvèdre,Vinisterra,90
Mexico,San Vicente,Mexico,,89.0,36.0,San Vicente,,,Tempranillo,Rincón de Guadalupe,89
Mexico,Valle de Guadalupe,Mexico,Amado IV,92.0,54.0,Valle de Guadalupe,,,Red Blend,Viñas de Garza,87
Mexico,Valle de Guadalupe and Santo Tomás,Mexico,Macouzet,88.0,30.0,Valle de Guadalupe and Santo Tomás,,,Syrah,Vinisterra,82
Moldova,Cahul,Moldova,,85.0,8.0,Cahul,,,Sauvignon Blanc,Taking Root,88
Moldova,Chisinau County,Moldova,,81.0,9.0,Chisinau County,,,Chardonnay,Vina LaVina,91
Moldova,Codru Region,Moldova,Mirodia Semidry,82.0,9.0,Codru Region,,,Red Blend,Vino Vista Collection,84
Moldova,Moldova,Moldova,Alb de Purcari,90.0,32.0,Moldova,,,White Blend,Purcari,81
Montenegro,Lake Skadar Valley,Montenegro,,82.0,10.0,Lake Skadar Valley,,,Vranec,Monte Cheval,90
Morocco,Beni M'Tir,Morocco,Special Cuvée,82.0,6.0,Beni M'Tir,,,Shiraz,Hickory Ridge,87
Morocco,Guerrouane,Morocco,Domaine Excelcio,93.0,35.0,Guerrouane,,,Syrah-Grenache,Bernard Magrez,96
Morocco,Morocco,Morocco,Aït Soula,89.0,25.0,Morocco,,,Red Blend,Ouled Thaleb,93
Morocco,Zenata,Morocco,,90.0,18.0,Zenata,,,Syrah,Ouled Thaleb,81
New Zealand,Awatere Valley,New Zealand,,91.0,18.0,Awatere Valley,,,Sauvignon Blanc,Eradus,99
New Zealand,Canterbury,New Zealand,Earth Smoke,91.0,60.0,Canterbury,,,Pinot Noir,Pyramid Valley,97
New Zealand,Central Otago,New Zealand,Bannockburn,93.0,40.0,Central Otago,,,Riesling,Felton Road,95
New Zealand,Central Otago-Marlborough,New Zealand,,83.0,17.0,Central Otago-Marlborough,,,Pinot Noir,Yealands,99
New Zealand,East Coast,New Zealand,,90.0,15.0,East Coast,,,Sauvignon Blanc,Tablelands,96
New Zealand,Eastern Bays,New Zealand,,86.0,15.0,Eastern Bays,,,Chardonnay,Matua Valley,93
New Zealand,Gisborne,New Zealand,Tietjen,91.0,20.0,Gisborne,,,Chardonnay,Kim Crawford,92
New Zealand,Hawke's Bay,New Zealand,The Patriarch Premium Red Wine,93.0,60.0,Hawke's Bay,,,Bordeaux-style Red Blend,Babich,89
New Zealand,Kumeu,New Zealand,Maté's Vineyard,94.0,57.0,Kumeu,,,Chardonnay,Kumeu River,92
New Zealand,Marlborough,New Zealand,Envoy Johnson Vineyard,93.0,33.0,Marlborough,,,Sauvignon Blanc,Spy Valley,93
New Zealand,Marlborough & Hawkes Bay,New Zealand,Private Bin,86.0,12.0,Marlborough & Hawkes Bay,,,Sauvignon Blanc,Villa Maria,91
New Zealand,Martinborough,New Zealand,Kupe,93.0,60.0,Martinborough,,,Pinot Noir,Escarpment,90
New Zealand,Martinborough Terrace,New Zealand,Te Muna Block 1 Doug Wisor Memorial,93.0,60.0,Martinborough Terrace,,,Pinot Noir,Craggy Range,87
New Zealand,Moutere,New Zealand,Home Vineyard,94.0,,Moutere,,,Pinot Noir,Neudorf,96
New Zealand,Nelson,New Zealand,Moutere,93.0,45.0,Nelson,,,Chardonnay,Neudorf,96
New Zealand,New Zealand,New Zealand,,90.0,,New Zealand,,,Pinot Gris,Dry River,87
New Zealand,North Island,New Zealand,Reserve Limited Edition,87.0,15.0,North Island,,,Bordeaux-style Red Blend,Huntaway Reserve,86
New Zealand,Ohiti Valley,New Zealand,Woolshed,86.0,17.0,Ohiti Valley,,,Merlot-Cabernet Sauvignon,Gunn Estate,97
New Zealand,Omaka Valley,New Zealand,Hillside Selection,88.0,59.0,Omaka Valley,,,Pinot Noir,Terravin,90
New Zealand,South Island,New Zealand,,88.0,18.0,South Island,,,Pinot Noir,Piko,83
New Zealand,Stirling,New Zealand,Reserve,83.0,20.0,Stirling,,,Chardonnay,Riverside,92
New Zealand,Waiheke Island,New Zealand,Ironclad,92.0,45.0,Waiheke Island,,,Bordeaux-style Red Blend,Man O' War,83
New Zealand,Waipara,New Zealand,Estate,92.0,29.0,Waipara,,,Chardonnay,Mountford,93
New Zealand,Waipara Valley,New Zealand,Sauvignon-Semillon,92.0,25.0,Waipara Valley,,,Bordeaux-style White Blend,Pegasus Bay,89
New Zealand,Wairarapa,New Zealand,Block B,91.0,50.0,Wairarapa,,,Pinot Noir,Schubert,92
New Zealand,Wairau Valley,New Zealand,Reserve,92.0,30.0,Wairau Valley,,,Sauvignon Blanc,Villa Maria,99
New Zealand,Waitaki Valley,New Zealand,,92.0,,Waitaki Valley,,,Pinot Noir,John Forrest Collection,99
Portugal,Alenquer,Portugal,Vinhas do Lasso Reserva,89.0,,Alenquer,,,Portuguese Red,Quinta do Pinto,94
Portugal,Alentejano,Portugal,Rubrica,95.0,60.0,Alentejano,,,Portuguese Red,Luis Duarte,100
Portugal,Alentejo,Portugal,Pêra-Manca Branco,94.0,33.0,Alentejo,,,Portuguese White,Cartuxa,96
Portugal,Alenteo,Portugal,Branco Reserva,88.0,18.0,Alenteo,,,Portuguese White,Adega Cooperativa de Borba,88
Portugal,Algarve,Portugal,Quinta do Outeiro Tinto,86.0,19.0,Algarve,,,Portuguese Red,Paxá Wines,95
Portugal,Bairrada,Portugal,Grande Follies Quinta da Aguieira,93.0,40.0,Bairrada,,,Portuguese White,Aveleda,95
Portugal,Beira Atlantico,Portugal,Marquês de Marialva Rosé Bruto,86.0,12.0,Beira Atlantico,,,Baga,Adega de Cantanhede,95
Portugal,Beira Interior,Portugal,Quinta do Cardo Grande Escolha,94.0,55.0,Beira Interior,,,Portuguese Red,Companhia das Quintas,80
Portugal,Beiras,Portugal,Vinhas Velhas de Santa Maria,93.0,70.0,Beiras,,,Baga,Quinta de Foz de Arouce,85
Portugal,Bucelas,Portugal,Special Selection Old Vineyards,92.0,29.0,Bucelas,,,Arinto,Quinta do Boição,83
Portugal,Colares,Portugal,Monte Cascas,91.0,79.0,Colares,,,Malvasia,Casca Wines,83
Portugal,Douro,Portugal,Barca Velha,99.0,426.0,Douro,,,Portuguese Red,Casa Ferreirinha,99
Portugal,Douro Superior,Portugal,Reserva,85.0,16.0,Douro Superior,,,Portuguese Red,Quinta do Grifo,88
Portugal,Duriense,Portugal,,92.0,45.0,Duriense,,,Petit Verdot,Quinta da Romaneira,86
Portugal,Dão,Portugal,Pape,95.0,65.0,Dão,,,Portuguese Red,Alvaro Castro,89
Portugal,Estremadura,Portugal,Chocopalha Reserva,91.0,38.0,Estremadura,,,Portuguese Red,Quinta de Chocapalha,84
Portugal,Lisboa,Portugal,,93.0,28.0,Lisboa,,,Touriga Nacional,Quinta do Pinto,87
Portugal,Madeira,Portugal,Colheita,93.0,,Madeira,,,Bual,Cossart Gordon,92
Portugal,Minho,Portugal,Escolha,92.0,25.0,Minho,,,Loureiro,Quinta do Ameal,80
Portugal,Moscatel de Setúbal,Portugal,Loboroxo,94.0,,Moscatel de Setúbal,,,Moscatel Roxo,Lobo,96
Portugal,Moscatel do Douro,Portugal,Colheita,90.0,137.0,Moscatel do Douro,,,Moscatel,Adega de Favaios,99
Portugal,Obidos,Portugal,Quinta do Sanguinhal,90.0,30.0,Obidos,,,Portuguese Red,Sanguinhal,100
Portugal,Palmela,Portugal,Pegos Claros Reserva,92.0,17.0,Palmela,,,Castelão,Wines & Winemakers,95
Portugal,Península de Setúbal,Portugal,Palácio da Bacalhôa,94.0,49.0,Península de Setúbal,,,Bordeaux-style Red Blend,Bacalhôa Wines of Portugal,92
Portugal,Port,Portugal,Vintage,97.0,95.0,Port,,,Port,Niepoort,97
Portugal,Portugal,Portugal,Vintage Porto,93.0,82.0,Portugal,,,Port,Churchill's,91
Portugal,Portuguese Table Wine,Portugal,Connections Limited Edition,91.0,19.0,Portuguese Table Wine,,,Chenin Blanc,Ribafreixo,99
Portugal,Ribatejano,Portugal,Conde de Vimioso Reserva,92.0,32.0,Ribatejano,,,Portuguese Red,Falua,95
Portugal,Ribatejo,Portugal,Cabeça de Toiro Reserva,92.0,17.0,Ribatejo,,,Portuguese Red,Caves Velhas,93
Portugal,Setubal,Portugal,Parus Tinto,93.0,40.0,Setubal,,,Portuguese Red,Herdade da Comporta,81
Portugal,Table wine,Portugal,Lancers Rosé,81.0,8.0,Table wine,,,Portuguese Red,José Maria da Fonseca,98
Portugal,Tejo,Portugal,Ikon,93.0,35.0,Tejo,,,Touriga Nacional,Fiuza,91
Portugal,Terras da Beira,Portugal,Vista,84.0,,Terras da Beira,,,Rosé,Caves Aliança,97
Portugal,Terras do Dão,Portugal,D. Fuas Reserva,89.0,7.0,Terras do Dão,,,Portuguese Red,Caves Velhas,88
Portugal,Terras do Sado,Portugal,Hexagon,94.0,,Terras do Sado,,,Portuguese Red,José Maria da Fonseca,86
Portugal,Torres Vedras,Portugal,Património,88.0,13.0,Torres Vedras,,,Portuguese Red,Caves Bonifacio,95
Portugal,Transmontanas,Portugal,Terra Boa,85.0,,Transmontanas,,,Portuguese Red,Caves Aliança,80
Portugal,Transmontano,Portugal,Reserva,90.0,,Transmontano,,,Portuguese Red,Valle Pradinhos,92
Portugal,Trás-os-Montes,Portugal,Branco Reserva,88.0,,Trás-os-Montes,,,Portuguese White,Quinta do Sobreiró de Cima,94
Portugal,Távora-Varosa,Portugal,Bruto,90.0,,Távora-Varosa,,,Pinot Noir,Murganheira,96
Portugal,Vinho Espumante,Portugal,Casal Garcia,85.0,,Vinho Espumante,,,Portuguese Sparkling,Aveleda,99
Portugal,Vinho Espumante de Qualidade,Portugal,CC & CP,90.0,,Vinho Espumante de Qualidade,,,Pinot Noir,Caves Transmontanas,89
Portugal,Vinho Licoroso,Portugal,Abafado 5-years,88.0,13.0,Vinho Licoroso,,,Fernão Pires,Quinta da Alorna,90
Portugal,Vinho Verde,Portugal,Portal do Fidalgo,92.0,35.0,Vinho Verde,,,Alvarinho,Provam,99
Portugal,Vinho da Mesa,Portugal,Duraduero,92.0,29.0,Vinho da Mesa,,,Red Blend,Quinta do Portal,80
Romania,Colinele Dobrogei,Romania,La Umbra,88.0,9.0,Colinele Dobrogei,,,Rosé,Cramele Halewood,84
Romania,Dealu Mare,Romania,Kronos Limited Edition,89.0,20.0,Dealu Mare,,,Pinot Noir,Cramele Halewood,80
Romania,Dealurile Hușilor,Romania,Moner,88.0,10.0,Dealurile Hușilor,,,Sarba,Senator,87
Romania,Dealurile Munteniei,Romania,La Umbra,88.0,9.0,Dealurile Munteniei,,,Pinot Noir,Cramele Halewood,94
Romania,Murfatlar,Romania,Zestrea Demidulce,88.0,9.0,Murfatlar,,,Feteasca Neagra,Murfatlar,83
Romania,Murfatlar Cernavoda,Romania,,80.0,15.0,Murfatlar Cernavoda,,,Chardonnay,Byzantium,88
Romania,Plaiurile Drancei,Romania,Sauvignon Blanc/Feteasca Regala,84.0,7.0,Plaiurile Drancei,,,White Blend,Val Duná,89
Romania,Recas,Romania,Conocul Ambrozy,92.0,28.0,Recas,,,Sauvignon Blanc,Cramele Recas,100
Romania,Romania,Romania,Legendary Estate Series,88.0,9.0,Romania,,,Chardonnay,Cramele Recas,90
Romania,Sebes,Romania,Theia Limited Edition,88.0,20.0,Sebes,,,Chardonnay,Cramele Halewood,98
Romania,Tarnave,Romania,Muscat Ottonel,84.0,10.0,Tarnave,,,Muskat Ottonel,Terra Romana,98
Romania,Terasele Dunarii,Romania,La Umbra,88.0,9.0,Terasele Dunarii,,,Chardonnay,Cramele Halewood,95
Romania,Transylvanian Plateau,Romania,Blanc de Transylvanie,84.0,15.0,Transylvanian Plateau,,,White Blend,Byzantium,93
Romania,Viile Carasului,Romania,Varius,87.0,10.0,Viile Carasului,,,Sauvignon Blanc,Senator,91
Romania,Viile Timis,Romania,Alb Sec,84.0,8.0,Viile Timis,,,Pinot Grigio,Cramele Recas,89
Romania,Viile Timisului,Romania,Paparuda Rezerva,88.0,12.0,Viile Timisului,,,Feteascǎ Regalǎ,Cramele Recas,97
Romania,Vânju Mare,Romania,Alb de Vânju Mare,87.0,20.0,Vânju Mare,,,Sauvignon Blanc,VinArte,94
Serbia,Fruška Gora,Serbia,,86.0,15.0,Fruška Gora,,,Portuguiser,Agrina,96
Serbia,Pocerina,Serbia,,87.0,26.0,Pocerina,,,Morava,Milijan Jelić,96
Serbia,Župa,Serbia,Margus Margi,89.0,20.0,Župa,,,Riesling,Budimir,81
Slovakia,Muzla,Slovakia,,87.0,16.0,Muzla,,,Riesling,Château Bela,100
Slovenia,Brda,Slovenia,Veliko,92.0,50.0,Brda,,,White Blend,Movia,91
Slovenia,Dolenjska,Slovenia,Cvicek PTP,87.0,12.0,Dolenjska,,,Red Blend,Zajc,81
Slovenia,Goriska Brda,Slovenia,Duet Lex,91.0,75.0,Goriska Brda,,,Bordeaux-style Red Blend,Edi Simcic,93
Slovenia,Kras,Slovenia,Grganja,90.0,23.0,Kras,,,Vitovska,Štoka,91
Slovenia,Primorska,Slovenia,,89.0,12.0,Primorska,,,Pinot Grigio,Giocato,94
Slovenia,Slovenia,Slovenia,Tradition Rizling Brut,87.0,36.0,Slovenia,,,Riesling,Vino Kupljen,98
Slovenia,Slovenska Istra,Slovenia,,88.0,36.0,Slovenska Istra,,,Malvasia,Klabjan,81
Slovenia,Vipavska Dolina,Slovenia,Valentino Sweet Red,90.0,60.0,Vipavska Dolina,,,Merlot-Cabernet Franc,Batič,88
Slovenia,Štajerska,Slovenia,,90.0,17.0,Štajerska,,,Chardonnay,Sanctum,98
South Africa,Bot River,South Africa,Barrel Selection,89.0,35.0,Bot River,,,Chenin Blanc,Wildekrans,90
South Africa,Breede River Valley,South Africa,,84.0,9.0,Breede River Valley,,,Sauvignon Blanc,Bergsig,97
South Africa,Breedekloof,South Africa,Silkbush Mountain Vineyards,89.0,18.0,Breedekloof,,,Pinotage,Lions Drift,86
South Africa,Cape Agulhas,South Africa,Pincushion Vineyard,90.0,25.0,Cape Agulhas,,,Sauvignon Blanc,Lomond,81
South Africa,Cape South Coast,South Africa,,85.0,26.0,Cape South Coast,,,Pinot Noir,Catherine Marshall,82
South Africa,Cederberg,South Africa,Five Generations,93.0,49.0,Cederberg,,,Cabernet Sauvignon,Cederberg,85
South Africa,Coastal Region,South Africa,,92.0,65.0,Coastal Region,,,Cabernet Sauvignon,Anthonij Rupert,90
South Africa,Constantia,South Africa,Vin de Constance,95.0,90.0,Constantia,,,Muscat,Klein Constantia,90
South Africa,Darling,South Africa,,88.0,14.0,Darling,,,Chardonnay,Ondine,90
South Africa,Durbanville,South Africa,Liber II,91.0,51.0,Durbanville,,,Red Blend,Emineo,98
South Africa,Eilandia,South Africa,Made with Organically Grown Grapes,88.0,15.0,Eilandia,,,Viognier,Bon Cap,84
South Africa,Elgin,South Africa,Mount Bullet,91.0,75.0,Elgin,,,Merlot,Shannon,82
South Africa,Elim,South Africa,,85.0,20.0,Elim,,,Sauvignon Blanc,The Berrio,99
South Africa,Franschhoek,South Africa,,94.0,46.0,Franschhoek,,,Cabernet Sauvignon,Boekenhoutskloof,81
South Africa,Groenekloof,South Africa,,90.0,18.0,Groenekloof,,,Sauvignon,Neil Ellis,96
South Africa,Hemel en Aarde,South Africa,,92.0,27.0,Hemel en Aarde,,,Pinotage,Southern Right,88
South Africa,Jonkershoek Valley,South Africa,Three Pines,91.0,42.0,Jonkershoek Valley,,,Cabernet Sauvignon,Stark-Condé,99
South Africa,Klein River,South Africa,Biography,85.0,17.0,Klein River,,,Shiraz,Raka,94
South Africa,Lutzville Valley,South Africa,,84.0,10.0,Lutzville Valley,,,Sauvignon Blanc,Diamond River,86
South Africa,Malgas,South Africa,White,90.0,35.0,Malgas,,,Chenin Blanc-Viognier,Sijnn,86
South Africa,Northern Cape,South Africa,Star Tree Brut Sparkling Wine,86.0,11.0,Northern Cape,,,Sparkling Blend,Orange River Wine Cellars,86
South Africa,Overberg,South Africa,,90.0,12.0,Overberg,,,Rosé,Slowine,82
South Africa,Paarl,South Africa,Series C,94.0,70.0,Paarl,,,Bordeaux-style Red Blend,Vilafonté,97
South Africa,Philadelphia,South Africa,,92.0,45.0,Philadelphia,,,Bordeaux-style Red Blend,Capaia,87
South Africa,Polkadraai Hills,South Africa,Polkadraai,86.0,14.0,Polkadraai Hills,,,Chenin Blanc-Sauvignon Blanc,Stellenbosch Hills,100
South Africa,Robertson,South Africa,Cabernet Sauvignon Methode Ancienne,92.0,52.0,Robertson,,,Cabernet Sauvignon,Springfield Estate,86
South Africa,Simonsberg-Paarl,South Africa,Boet Erasmus,88.0,35.0,Simonsberg-Paarl,,,Bordeaux-style Red Blend,Vrede en Lust,93
South Africa,Simonsberg-Stellenbosch,South Africa,Paul Sauer,92.0,50.0,Simonsberg-Stellenbosch,,,Bordeaux-style Red Blend,Kanonkop,80
South Africa,South Africa,South Africa,,91.0,22.0,South Africa,,,Cabernet Sauvignon,Rudera,85
South Africa,Stellenbosch,South Africa,Limited Release,94.0,93.0,Stellenbosch,,,Bordeaux-style Red Blend,Ernie Els,99
South Africa,Swartland,South Africa,Columella,95.0,130.0,Swartland,,,Rhône-style Red Blend,Sadie Family,93
South Africa,Tradouw,South Africa,R62,90.0,40.0,Tradouw,,,Syrah,Joubert-Tradauw,80
South Africa,Tulbagh,South Africa,,93.0,70.0,Tulbagh,,,Syrah,Fable Mountain,94
South Africa,Walker Bay,South Africa,Galpin Peak,90.0,40.0,Walker Bay,,,Pinot Noir,Bouchard Finlayson,92
South Africa,Wellington,South Africa,Scaramanga,91.0,28.0,Wellington,,,Red Blend,Nabygelegen,84
South Africa,Western Cape,South Africa,Henrietta,92.0,30.0,Western Cape,,,Semillon-Sauvignon Blanc,Bizoe,96
South Korea,Jiri Valley,South Korea,Wild Grape Dry,82.0,16.0,Jiri Valley,,,Meoru,Keum Hwa Winery,97
Spain,Andalucia,Spain,Solera 1927,94.0,25.0,Andalucia,Montilla-Moriles,,Pedro Ximénez,Alvear,97
Spain,Catalonia,Spain,El Perer,96.0,770.0,Catalonia,Priorat,,Carignan,Marco Abella,90
Spain,Central Spain,Spain,Emeritus,92.0,90.0,Central Spain,Dominio de Valdepusa,,Cabernet Blend,Marques de Griñon,85
Spain,Galicia,Spain,Selección Especial,93.0,27.0,Galicia,Rías Baixas,,Albariño,Adegas Gran Vinum,83
Spain,Levante,Spain,Casta Diva Fondillón Sweet,97.0,88.0,Levante,Alicante,,Monastrell,Bodegas Gutiérrez de la Vega,96
Spain,Northern Spain,Spain,Clon de la Familia,98.0,450.0,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro,95
Spain,Spain Other,Spain,Caligo Sweet White Wine,91.0,50.0,Spain Other,Spain,,White Blend,D.G. Viticultors,94
Spain,Spanish Islands,Spain,Àn,92.0,50.0,Spanish Islands,Vi de la Terra Mallorca,,Red Blend,Ànima Negra,82
Switzerland,Neuchâtel,Switzerland,,90.0,21.0,Neuchâtel,,,White Blend,Château d'Auvernier,99
Switzerland,Ticino,Switzerland,Carato,83.0,38.0,Ticino,,,Merlot,Delea,84
Switzerland,Valais,Switzerland,Les Murettes,90.0,28.0,Valais,,,Chasselas,Robert Gilliard,90
Switzerland,Vino da Tavola della Svizzera Italiana,Switzerland,Marengo,86.0,19.0,Vino da Tavola della Svizzera Italiana,,,Merlot,Delea,100
Tunisia,Tunisia,Tunisia,Selian Mystère,87.0,,Tunisia,,,Rosé,Domaine Neferis,81
Turkey,Aegean,Turkey,Pendore,92.0,33.0,Aegean,,,Okuzgozu,Kavaklidere,95
Turkey,Ankara,Turkey,Dry,90.0,15.0,Ankara,,,Kalecik Karasi,Vinkara,80
Turkey,Elazığ,Turkey,Vintage Single Vineyard Collectible Series #5,88.0,20.0,Elazığ,,,Okuzgozu,Kayra,84
Turkey,Thrace,Turkey,Grand Reserve Single Vineyard Bozokbag,91.0,79.0,Thrace,,,Cabernet Sauvignon,Suvla,98
Turkey,Turkey,Turkey,,89.0,21.0,Turkey,,,Boğazkere,Yazgan,89
US,America,US,Evolution,91.0,15.0,America,,,White Blend,Sokol Blosser,80
US,Arizona,US,,88.0,28.0,Arizona,Cochise County,,Chenin Blanc,Pillsbury,97
US,California,US,,100.0,200.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cardinale,91
US,Colorado,US,,90.0,30.0,Colorado,Colorado,,Syrah,Sutcliffe,84
US,Connecticut,US,Duet,84.0,11.0,Connecticut,Western Connecticut Highlands,,White Blend,Hopkins Vineyard,84
US,Idaho,US,Private Reserve,90.0,55.0,Idaho,,,Petite Sirah,Huston,82
US,Iowa,US,,84.0,16.0,Iowa,Iowa,,Seyval Blanc,Jasper,88
US,Kentucky,US,Estate,83.0,35.0,Kentucky,Kentucky,,Cabernet Franc,Elk Creek Vineyards,93
US,Massachusetts,US,Apfel Eis Apple Ice Wine,89.0,25.0,Massachusetts,Massachusetts,,Apple,Still River,84
US,Michigan,US,Proprietor's Reserve,86.0,20.0,Michigan,Old Mission Peninsula,,Pinot Gris,Chateau Chantal,94
US,Missouri,US,Vintage,87.0,50.0,Missouri,Augusta,,Port,Mount Pleasant Winery,100
US,Nevada,US,Nevada Ridge First Crush,84.0,75.0,Nevada,Nevada,,Zinfandel,Pahrump Valley Winery,91
US,New Jersey,US,Reserve,87.0,17.0,New Jersey,New Jersey,,Cabernet Franc,Amalthea Cellars,100
US,New Mexico,US,Artist Series I,88.0,20.0,New Mexico,New Mexico,,Viognier,La Chiripada,80
US,New York,US,Reserve,94.0,30.0,New York,Seneca Lake,Finger Lakes,Riesling,Fox Run,81
US,North Carolina,US,Terry Vintner's Family Reserve,88.0,50.0,North Carolina,Yadkin Valley,,Bordeaux-style Red Blend,Westbend Vineyards,90
US,Ohio,US,Ice Wine,88.0,30.0,Ohio,Grand River Valley,,Vidal Blanc,Debonné,80
US,Oregon,US,En Chamberlin Vineyard,100.0,65.0,Oregon,Walla Walla Valley (OR),Oregon Other,Syrah,Cayuse,93
US,Pennsylvania,US,,87.0,17.0,Pennsylvania,Pennsylvania,,Pinot Grigio,Chaddsford,94
US,Texas,US,Cellar Select,90.0,18.0,Texas,Texas,,Chardonnay,Llano Estacado,97
US,Vermont,US,Icewine,85.0,45.0,Vermont,Vermont,,Vidal Blanc,Snow Farm,84
US,Virginia,US,Boisseau,92.0,40.0,Virginia,Virginia,,Cabernet Sauvignon-Merlot,Linden,96
US,Washington,US,Heart Stoneridge Vineyard,98.0,120.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Charles Smith,86
US,Washington-Oregon,US,Three White Wine,89.0,18.0,Washington-Oregon,,,White Blend,Z'IVO,86
US-France,Santa Barbara County-Condrieu,US-France,,88.0,50.0,Santa Barbara County-Condrieu,,,Viognier,Deux C,94
Ukraine,Ukraine,Ukraine,KrimSekt Matured Rosy Semi-Dry,86.0,13.0,Ukraine,,,Sparkling Blend,Artemovsk,90
Uruguay,Atlantida,Uruguay,Angel's Cuvée Ripasso de Tannat,81.0,59.0,Atlantida,,,Tannat,Viñedo de los Vientos,89
Uruguay,Canelones,Uruguay,,88.0,16.0,Canelones,,,Tannat,Artesana,87
Uruguay,Colonia,Uruguay,Posada Del Virrey Reserve,84.0,13.0,Colonia,,,Viognier,Dante Irurtia,83
Uruguay,El Colorado,Uruguay,Rio Colorado,86.0,35.0,El Colorado,,,Red Blend,DeLucca,98
Uruguay,Juanico,Uruguay,Preludio Barrel Select Lote N 77,90.0,45.0,Juanico,,,Red Blend,Familia Deicas,100
Uruguay,Montevideo,Uruguay,Monte Vide Eu Tannat-Merlot-Tempranillo,90.0,57.0,Montevideo,,,Red Blend,Bouza,100
Uruguay,Progreso,Uruguay,RPF,89.0,23.0,Progreso,,,Tannat,Pisano,81
Uruguay,San Jose,Uruguay,,84.0,19.0,San Jose,,,Tannat-Syrah,Tanterra,93
Uruguay,Uruguay,Uruguay,Varietales,88.0,20.0,Uruguay,,,Tannat,Garzón,98
